OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF
8,1625,2,2006,1573,1625,0
4,1140,0,1910,576,792,348
6,1912,2,1905,482,1221,691
7,1626,2,2003,764,764,862
9,1800,2,2007,1800,1800,0
5,1040,0,1978,1040,1040,0
9,2153,3,2000,1440,1476,677
7,1479,2,2003,1453,1479,0
9,2121,3,2006,2121,2121,0
7,2287,2,1953,1304,1304,983
5,1120,0,2007,1120,1120,0
8,1936,2,2000,1406,1454,482
9,2324,3,2005,1175,1182,1142
5,894,2,1968,894,894,0
5,816,2,1963,816,816,0
8,1919,2,2006,1079,1079,840
6,1574,2,1976,796,790,784
7,1378,2,1928,689,689,689
8,1630,3,2008,1622,1630,0
6,1003,2,1984,1003,1003,0
7,1964,2,1976,803,1098,866
4,872,4,1971,858,872,0
6,1196,1,1956,1196,1196,0
5,1920,2,1948,928,928,992
5,1060,1,1968,1060,1060,0
5,1507,1,1960,1075,1507,0
5,928,1,1956,928,928,0
6,1395,2,1972,723,735,660
5,827,1,1955,0,827,0
5,969,2,1975,969,969,0
7,2291,2,1999,975,1005,1286
4,1154,1,1922,796,796,358
7,1368,2,2005,1368,1368,0
5,904,1,1966,876,904,0
5,1644,1,1942,728,888,756
10,4476,3,1996,2396,2411,2065
4,1296,2,1967,0,1296,0
7,1646,1,1941,918,918,728
4,1774,3,1900,1095,1095,679
5,1513,1,1920,939,939,574
6,1375,2,1954,1367,1375,0
3,729,0,1935,270,729,0
7,1986,2,1965,768,1186,800
8,1466,3,2007,1466,1466,0
7,1509,2,2003,783,807,702
9,1561,2,2005,1561,1561,0
7,2149,2,2003,1434,1518,631
5,1464,2,1963,520,1464,0
8,1338,2,2001,1338,1338,0
8,2290,2,2002,1128,1149,1141
10,2296,3,2008,1722,1728,568
6,1567,2,1977,1567,1567,0
5,1800,0,1961,1800,1800,0
4,796,0,1922,796,796,0
7,1553,2,2005,756,756,797
5,858,2,1982,858,858,0
5,1920,2,1958,1052,1252,668
6,1689,2,1956,1436,1689,0
5,1122,2,1948,924,1122,0
6,1279,2,1977,1196,1279,0
8,1502,2,1985,1488,1502,0
9,2504,3,2005,1122,1134,1370
4,960,1,1965,648,960,0
5,803,2,1941,720,803,0
4,630,0,1972,630,630,0
10,5642,2,2008,6110,4692,950
4,1346,1,1910,560,796,550
7,1818,1,1931,1040,1226,592
7,1548,2,1925,952,952,596
5,893,2,1949,845,893,0
6,1094,2,1953,1094,1094,0
6,1310,1,1924,617,865,445
5,1701,2,1975,1390,1701,0
5,1040,2,1950,0,1040,0
5,1522,0,1926,1008,1008,0
5,1057,2,1962,1057,1057,0
7,2019,2,1910,728,1136,883
4,1374,1,1920,840,840,534
8,1717,3,2006,1709,1717,0
5,882,1,1956,0,882,0
6,1096,0,1924,572,572,524
6,1724,2,1967,1680,1724,0
4,948,1,1954,864,948,0
4,1225,0,1959,950,1225,0
8,2042,3,2008,2042,2042,0
5,1268,1,1949,832,1036,0
9,1792,3,2003,1792,1792,0
7,1720,2,2004,840,840,880
7,1368,2,2005,1368,1368,0
3,864,1,1914,864,864,0
6,1167,2,1992,1158,1167,0
6,816,0,1990,816,816,0
5,858,0,1958,858,858,0
5,1167,2,1920,915,1167,0
7,2353,2,1980,845,1153,1200
7,1958,3,2005,1026,1026,932
8,1932,3,2008,1932,1932,0
7,2236,2,1997,964,993,1243
8,1915,2,1992,908,927,988
5,789,1,1926,768,789,0
6,1600,2,1997,916,916,684
9,1668,3,2002,1626,1668,0
7,1790,2,1999,873,882,908
7,1665,2,2007,813,822,843
5,912,1,1964,912,912,0
7,1959,3,1988,1907,1959,0
6,1337,2,1998,1405,1337,0
5,925,1,1965,925,925,0
5,1656,1,1916,660,808,704
5,1128,2,1963,1120,1128,0
5,816,1,1957,816,816,0
6,1208,2,1977,1208,1208,0
7,1164,2,1969,1164,1164,0
5,999,1,1962,999,999,0
9,2184,3,2008,1104,1130,1054
5,1716,0,1912,780,936,780
4,960,2,1970,960,960,0
5,1601,1,1958,533,1021,580
5,1526,1,1957,1216,1526,0
5,1265,2,1965,1219,1265,0
6,1080,2,1983,1084,1080,0
7,1978,2,1968,832,1098,880
4,1092,1,1970,546,546,546
5,1008,1,1954,1008,1008,0
6,848,2,2004,848,848,0
5,1020,0,1875,780,780,240
5,1440,1,1900,540,889,551
5,1200,1,1946,768,768,432
7,1626,2,2003,764,764,862
3,1077,1,1922,1007,1077,0
5,866,0,1945,686,866,0
8,1616,2,1995,1595,1616,0
5,778,1,1940,740,778,0
6,1571,2,1993,799,799,772
3,1733,2,1955,0,1733,0
4,1092,1,1973,546,546,546
7,1302,2,2007,1302,1302,0
7,999,2,1961,944,999,0
5,950,1,1971,950,950,0
4,1258,2,1969,1198,1258,0
6,1489,2,1968,1489,1489,0
8,1689,3,2002,1568,1689,0
6,1839,2,1966,756,1051,788
5,1060,2,1976,1040,1060,0
6,1656,2,1960,1080,1656,0
6,1252,1,1950,1032,1032,220
5,884,2,1983,840,884,0
7,1852,2,2009,900,932,920
6,1252,2,1959,1252,1252,0
5,1385,2,1952,910,910,475
5,2337,2,1900,662,1422,915
6,1215,1,1958,1215,1215,0
8,1563,3,2007,1563,1563,0
6,1236,2,1957,912,1236,0
6,848,2,2004,848,848,0
7,2093,2,1986,791,1236,857
6,1348,2,1966,660,660,688
6,1560,2,2005,684,684,876
7,1502,1,1931,776,851,651
4,864,2,1951,864,864,0
7,1436,2,2004,1436,1436,0
7,1720,2,1996,1720,1720,0
5,943,2,1979,943,943,0
7,1616,3,2005,1616,1616,0
6,1846,1,1949,1040,1168,678
8,2468,3,2004,1136,1136,1332
6,2624,3,1918,1370,1370,1254
7,1402,3,2006,1258,1402,0
7,1661,2,1996,799,827,834
9,1709,2,1999,1698,1709,0
5,1188,2,1959,1188,1188,0
7,2013,2,1996,1117,1127,886
9,1850,3,2004,1833,1850,0
7,1498,2,2006,1498,1498,0
7,1840,2,2001,944,944,896
7,1241,2,2006,1241,1241,0
6,1564,2,1980,650,888,676
5,894,2,1972,894,894,0
9,2234,3,2008,2216,2234,0
6,1686,2,1980,1686,1686,0
8,1360,2,1984,1220,1360,0
8,1935,2,2009,832,832,1103
5,1928,0,1916,686,948,980
5,1078,1,1950,1078,1078,0
4,1120,2,1961,1040,1120,0
9,1856,3,2010,1856,1856,0
7,1922,2,2003,0,495,1427
4,1067,2,1950,1067,1067,0
4,708,0,1940,420,708,0
5,1392,2,1957,1392,1392,0
7,1767,2,1987,1064,1064,703
6,1199,2,1993,1199,1199,0
5,1868,2,1976,780,1088,780
8,1337,2,1993,1337,1337,0
5,1576,1,1928,1042,1042,534
6,1392,1,1977,689,689,703
6,1756,2,1996,872,888,868
7,1886,2,1998,930,956,930
5,1086,2,1966,1024,1086,0
7,1501,2,1999,744,757,744
6,1640,2,2004,798,798,842
8,2263,2,1998,1141,1165,1098
7,1358,2,2009,1358,1358,0
5,1142,2,1976,1142,1142,0
5,1052,1,1968,1052,1052,0
4,630,0,1972,630,630,0
9,2822,3,2008,1734,1734,1088
2,800,0,1936,264,800,0
5,1040,1,1965,1040,1040,0
7,1223,2,2005,600,520,623
5,1360,2,1955,384,1360,0
5,2136,2,1951,2136,2136,0
7,3082,2,1920,824,1687,998
6,1595,1,1940,940,1192,403
4,864,0,1971,864,864,0
7,1786,2,2001,920,920,866
8,2392,3,1997,1396,1407,985
8,2704,2,1972,1952,2000,704
8,1636,3,2006,1623,1636,0
7,1442,2,1990,1424,1442,0
4,1344,0,1970,546,798,546
3,720,1,1949,0,720,0
6,1993,2,1971,825,1097,896
6,1688,2,1997,616,616,1072
5,1002,2,1970,1002,1002,0
7,1708,2,2004,976,976,732
5,1252,2,1908,504,936,316
7,1431,2,1999,1431,1431,0
5,773,1,1953,773,773,0
5,1056,1,1968,1056,1056,0
5,1389,2,1974,1389,1389,0
6,1493,2,1997,1478,1493,0
7,2554,2,1890,718,1576,978
6,2345,2,1932,952,1170,1175
5,2138,2,1898,849,1075,1063
5,1134,1,1940,756,756,378
7,1614,3,2005,1614,1614,0
5,1140,0,2006,1140,1140,0
8,2576,3,2006,1234,1264,1312
5,1728,2,1976,1728,1728,0
6,1548,2,1976,804,804,744
5,1221,1,1924,784,949,272
6,838,1,1918,816,838,0
7,1506,2,2005,1362,1506,0
6,2108,2,1935,1127,1236,872
6,1224,2,1999,1224,1224,0
8,1788,2,2001,1753,1788,0
4,1040,2,1949,0,1040,0
7,1301,2,2006,1293,1301,0
5,1728,2,1965,1728,1728,0
6,1261,2,1958,1261,1261,0
5,1268,1,1977,1268,1268,0
5,988,2,1961,988,988,0
8,1517,2,1929,792,792,725
6,1651,2,1986,1606,1651,0
5,1302,1,1972,630,630,672
7,1601,2,1978,1271,1601,0
6,1216,2,1998,1216,1216,0
5,1486,2,1964,1486,1486,0
5,1144,2,1961,1144,1144,0
6,1750,1,1940,983,983,767
8,1694,2,2004,1686,1694,0
7,2110,2,1968,2110,2110,0
8,1484,2,2006,1476,1484,0
5,835,1,1920,458,835,0
5,935,1,1965,935,935,0
4,901,1,1954,901,901,0
8,1992,2,2003,1053,1053,939
8,1768,2,2007,866,866,902
5,965,1,1965,828,965,0
5,1301,2,1924,1145,1301,0
7,3222,3,1990,1673,1699,1523
5,1696,1,1962,1140,1696,0
7,2696,3,2007,1264,1282,1414
4,605,0,1920,528,605,0
7,3493,3,1880,1470,1675,1818
5,1838,2,2005,732,734,1104
5,1339,1,1958,1029,1339,0
7,1644,2,1989,1518,1644,0
7,1349,2,2000,1349,1349,0
7,2090,2,1973,1107,1107,983
10,1718,3,2006,1700,1718,0
5,1539,2,1904,650,958,581
5,1572,3,1963,1572,1572,0
7,1453,2,1986,1453,1453,0
5,1048,1,1956,1048,1048,0
6,1056,2,1980,1056,1056,0
8,2630,3,1998,1470,1470,1160
5,1365,2,1970,765,765,600
6,813,1,1930,813,813,0
6,2526,1,1916,714,1664,862
7,1352,2,2006,1352,1352,0
4,968,1,1927,656,968,0
7,1689,3,2007,1689,1689,0
6,1158,1,1929,862,950,208
7,1564,1,1941,704,860,704
8,1713,3,2004,1713,1713,0
5,988,2,1954,988,988,0
5,1264,2,1960,1268,1264,0
7,2060,2,1999,992,1022,1038
7,1557,2,2003,1374,1557,0
7,1768,2,1914,880,880,888
5,1600,1,1957,1484,1600,0
6,2030,2,1976,848,1118,912
8,1228,2,1988,1228,1228,0
1,334,0,1946,0,334,0
7,2090,2,1984,1190,1190,900
8,2524,2,1981,2524,2524,0
6,1523,2,1976,1193,1523,0
5,1647,2,1977,1430,1647,0
5,1216,1,1947,832,832,384
6,1578,1,1941,806,958,620
6,1478,2,1960,1478,1478,0
8,2622,2,1994,1463,1500,1122
5,886,1,1938,190,886,0
8,1646,2,2004,1594,1646,0
7,1654,3,2002,1654,1654,0
7,2730,2,1986,1502,1553,1177
5,1276,1,1958,1276,1276,0
5,1382,2,1941,720,854,0
7,1434,2,2001,1454,1434,0
6,1381,2,1972,1161,1381,0
7,1894,2,2002,817,824,1070
6,1674,2,1918,1163,1163,511
5,894,2,1974,864,894,0
10,2402,3,2008,3094,2402,0
9,2728,3,2005,1848,1848,880
7,1555,3,2007,1373,1555,0
8,1939,3,2006,1095,1095,844
5,864,1,1972,864,864,0
6,987,1,1973,483,483,504
10,2633,3,2001,2633,2633,0
7,1501,2,1999,1490,1501,0
6,996,2,1992,936,996,0
6,1113,1,1976,1143,1113,0
3,864,0,1914,864,864,0
6,1679,2,1994,1408,1679,0
8,1666,1,1925,588,833,833
6,1458,2,1999,729,729,729
5,2126,2,1967,1013,1160,966
8,1836,3,2004,1836,1836,0
4,1452,0,1920,736,736,716
6,1258,1,1939,560,698,560
8,1456,2,2003,1273,1456,0
5,1214,1,1967,1214,1214,0
6,1635,1,1910,485,1001,634
8,1296,2,2001,1267,1296,0
5,1505,1,1940,883,988,517
7,1200,2,2005,600,520,600
7,1533,2,1975,1533,1533,0
